"time_period";"geo_id";"geographic_level";"age";"age_class";"sex";"obs_value";"pop_obs_value";"pop_age_obs_value";"ratio"
"2021";"12";"Canton Remich";"Y15T29";"From 15 to 29 years";"Male";"2071";"23684";"4057";"51.0"
"2021";"902";"Putscheid";"Y60T64";"From 60 to 64 years";"Male";"37";"1127";"69";"53.6"
"2021";"9";"Canton Vianden";"Y40T44";"From 40 to 44 years";"Male";"204";"5502";"415";"49.2"
"2021";"709";"Vichten";"Y15T19";"From 15 to 19 years";"Total";"67";"1365";"67";"4.9"
"2021";"601";"Bettendorf";"Y30T49";"From 30 to 49 years";"Total";"750";"2943";"750";"25.5"
"2021";"1005";"Echternach";"Y40T44";"From 40 to 44 years";"Total";"366";"5690";"366";"6.4"
"2021";"103";"Habscht";"Y65T84";"From 65 to 84 years";"Female";"312";"4918";"631";"49.4"
"2021";"107";"Kopstal";"Y45T49";"From 45 to 49 years";"Total";"360";"4137";"360";"8.7"
"2021";"903";"Vianden";"Y5T9";"From 5 to 9 years";"Female";"51";"2168";"113";"45.1"
"2021";"709";"Vichten";"Y55T59";"From 55 to 59 years";"Total";"98";"1365";"98";"7.2"
"2021";"501";"Clervaux";"Y60T64";"From 60 to 64 years";"Total";"370";"5751";"370";"6.4"
"2021";"1203";"Lenningen";"Y5T9";"From 5 to 9 years";"Male";"62";"2047";"120";"51.7"
"2021";"305";"Niederanven";"Y45T49";"From 45 to 49 years";"Female";"217";"6442";"463";"46.9"
"2021";"407";"Lintgen";"_T";"Total";"Male";"1695";"3401";"3401";"49.8"
"2021";"704";"Rambrouch";"Y70T74";"From 70 to 74 years";"Total";"194";"4697";"194";"4.1"
"2021";"3";"Canton Luxembourg";"Y70T74";"From 70 to 74 years";"Total";"6646";"197932";"6646";"3.4"
"2021";"1004";"Consdorf";"Y30T34";"From 30 to 34 years";"Total";"156";"2126";"156";"7.3"
"2021";"207";"Leudelange";"Y10T14";"From 10 to 14 years";"Male";"89";"2704";"154";"57.8"
"2021";"3";"Canton Luxembourg";"Y15T19";"From 15 to 19 years";"Total";"8344";"197932";"8344";"4.2"
"2021";"610";"Vallée de l'Ernz";"Y45T49";"From 45 to 49 years";"Total";"211";"2697";"211";"7.8"
"2021";"205";"Frisange";"Y15T29";"From 15 to 29 years";"Female";"381";"4768";"799";"47.7"
"2021";"409";"Mersch";"Y80T84";"From 80 to 84 years";"Female";"127";"10167";"209";"60.8"
"2021";"601";"Bettendorf";"Y65T69";"From 65 to 69 years";"Male";"72";"2943";"142";"50.7"
"2021";"209";"Pétange";"Y70T74";"From 70 to 74 years";"Male";"347";"20385";"734";"47.3"
"2021";"705";"Grosbous";"Y20T24";"From 20 to 24 years";"Male";"41";"1130";"81";"50.6"
"2021";"104";"Käerjeng";"Y50T54";"From 50 to 54 years";"Female";"465";"10761";"898";"51.8"
"2021";"3";"Canton Luxembourg";"Y_LT5";"Less than 5 years";"Total";"9828";"197932";"9828";"5.0"
"2021";"6";"Canton Diekirch";"Y15T19";"From 15 to 19 years";"Total";"1867";"34278";"1867";"5.4"
"2021";"4";"Canton Mersch";"Y45T49";"From 45 to 49 years";"Male";"1206";"34652";"2368";"50.9"
"2021";"405";"Heffingen";"Y60T64";"From 60 to 64 years";"Male";"45";"1506";"81";"55.6"
"2021";"902";"Putscheid";"Y30T49";"From 30 to 49 years";"Female";"165";"1127";"314";"52.5"
"2021";"802";"Esch-sur-Sûre";"Y20T24";"From 20 to 24 years";"Total";"178";"2991";"178";"6.0"
"2021";"1203";"Lenningen";"Y50T64";"From 50 to 64 years";"Total";"453";"2047";"453";"22.1"
"2021";"901";"Tandel";"Y65T84";"From 65 to 84 years";"Female";"120";"2207";"244";"49.2"
"2021";"104";"Käerjeng";"Y40T44";"From 40 to 44 years";"Total";"701";"10761";"701";"6.5"
"2021";"901";"Tandel";"Y85T89";"From 85 to 89 years";"Female";"10";"2207";"19";"52.6"
"2021";"705";"Grosbous";"Y_GE85";"85 years or over";"Total";"9";"1130";"9";"0.8"
"2021";"9";"Canton Vianden";"Y75T79";"From 75 to 79 years";"Female";"78";"5502";"139";"56.1"
"2021";"1107";"Mertert";"Y85T89";"From 85 to 89 years";"Male";"27";"4760";"61";"44.3"
"2021";"601";"Bettendorf";"Y65T69";"From 65 to 69 years";"Female";"70";"2943";"142";"49.3"
"2021";"103";"Habscht";"Y15T29";"From 15 to 29 years";"Total";"916";"4918";"916";"18.6"
"2021";"605";"Ettelbruck";"Y90T94";"From 90 to 94 years";"Male";"21";"9353";"61";"34.4"
"2021";"208";"Mondercange";"Y80T84";"From 80 to 84 years";"Female";"116";"6979";"219";"53.0"
"2021";"305";"Niederanven";"Y15T29";"From 15 to 29 years";"Total";"1006";"6442";"1006";"15.6"
"2021";"9";"Canton Vianden";"Y_LT5";"Less than 5 years";"Male";"142";"5502";"287";"49.5"
"2021";"807";"Wiltz";"Y50T64";"From 50 to 64 years";"Female";"700";"7697";"1451";"48.2"
"2021";"607";"Mertzig";"Y45T49";"From 45 to 49 years";"Female";"88";"2293";"158";"55.7"
"2021";"204";"Esch-sur-Alzette";"Y30T49";"From 30 to 49 years";"Total";"10727";"36117";"10727";"29.7"
"2021";"108";"Mamer";"Y10T14";"From 10 to 14 years";"Male";"446";"10426";"828";"53.9"
"2021";"6";"Canton Diekirch";"Y90T94";"From 90 to 94 years";"Male";"64";"34278";"186";"34.4"
"2021";"107";"Kopstal";"Y_GE100";"100 years or over";"Male";"0";"4137";"0";"0.0"
"2021";"501";"Clervaux";"_T";"Total";"Total";"5751";"5751";"5751";"100.0"
